Close,High,Low,Open,Volume,target
128.75,130.49,127.01,127.03,111985040,1
128.53,129.39,127.78,127.975,33710411,0
129.08,129.19,128.16,128.31,24507301,0
130.29,130.5,128.9,129.13,26845924,0
131.53,132.09,130.45,130.54,38183841,0
132.04,132.22,131.22,131.35,23004072,0
132.42,132.445,131.12,131.65,28349859,0
132.12,132.94,132.05,132.46,20065458,0
133.29,133.82,132.75,133.08,23035421,0
135.02,135.09,133.25,133.47,33226223,0
135.51,136.27,134.62,135.52,35623100,0
135.345,135.9,134.8398,135.67,22584555,0
135.72,135.83,135.1,135.1,22198197,0
136.7,136.75,135.98,136.23,24507156,0
137.11,137.12,136.11,136.43,20836932,0
136.53,137.48,136.3,137.38,20788186,0
136.66,136.66,135.28,135.91,21776585,0
136.93,137.435,136.28,137.14,20257426,0
136.99,137.435,136.7,137.08,23482860,0
139.79,140.15,137.595,137.89,36414585,0
138.96,140.2786,138.76,140,26210984,0
139.78,139.83,138.59,138.78,21571121,0
139.34,139.77,138.5959,139.365,21750044,0
139.52,139.98,138.79,139.06,17446297,0
139,139.8,138.82,138.95,18707236,0
138.68,138.79,137.05,138.74,22155904,0
139.14,139.3571,138.64,139.25,19612801,0
139.2,139.43,138.82,138.85,17421717,0
138.99,139.65,138.84,139.3,15309065,0
140.46,140.7501,139.025,139.41,25691774,0
140.69,141.02,140.26,140.72,19231998,0
139.99,141,139.89,141,43884952,0
141.46,141.5,140.23,140.4,21542038,0
139.84,142.8,139.73,142.11,39529912,0
141.42,141.6,139.76,139.845,25860165,0
140.92,141.5844,140.61,141.26,20346301,0
140.64,141.74,140.35,141.5,22395563,0
140.88,141.22,138.62,139.39,23575094,0
143.8,144.04,140.62,140.91,33374805,0
144.12,144.49,143.19,143.68,29189955,0
143.93,144.5,143.5,144.19,21207252,0
143.66,144.27,143.01,143.72,19661651,0
143.7,144.12,143.05,143.71,19985714,0
144.77,144.89,143.17,143.25,19891354,0
144.02,145.46,143.81,144.22,27717854,0
143.66,144.52,143.45,144.29,21149034,0
143.34,144.18,143.27,143.73,16658543,0
143.17,143.8792,142.9,143.6,18933397,0
141.63,143.35,140.06,142.94,30379376,0
141.8,142.15,141.01,141.6,20350000,0
141.05,142.38,141.05,141.91,17822880,0
141.83,141.88,140.87,141.48,16582094,0
141.2,142.04,141.11,141.41,14697544,0
140.68,142,140.45,141.88,17328375,0
142.44,142.92,141.16,141.22,23319562,0
142.27,142.68,141.85,142.44,17320928,0
143.64,143.95,143.18,143.5,17116599,0
144.53,144.9,143.87,143.91,18216472,0
143.68,144.6,143.3762,144.47,19614287,0
143.79,144.16,143.31,143.9225,13948980,0
143.65,144.3,143.27,144.09,20247187,0
146.58,147.2,144.96,145.1,32818760,0
147.51,148.09,146.84,147.54,39752670,0
147.06,147.49,144.27,145.59,45142806,0
146.53,147.14,145.81,146.52,23275690,0
148.96,148.98,146.76,146.76,26787359,0
153.01,153.7,149.03,149.03,48339210,1
153.99,154.88,153.45,153.87,35942435,0
153.26,153.94,152.11,153.63,25670456,0
153.95,154.07,152.31,152.45,25596687,0
156.1,156.42,154.67,154.7,32221756,0
155.7,156.65,155.05,156.01,25700983,0
155.47,156.06,154.72,155.94,19904679,0
150.25,154.57,149.71,153.6,49482818,1
152.54,153.34,151.13,151.27,33159664,0
153.06,153.98,152.63,153.38,26733798,0
153.99,154.58,152.91,154,22340069,0
153.8,154.9,153.31,154.9,19430358,0
153.34,154.17,152.67,153.84,19118319,0
153.87,154.35,153.03,153.73,19044463,0
153.61,154.24,153.31,154,21632202,0
153.67,154.43,153.33,153.42,20034934,0
152.76,154.17,152.38,153.97,23162873,0
153.18,153.33,152.22,153.17,16180143,0
155.45,155.45,152.89,153.58,27285861,0
153.93,154.45,153.46,154.34,24803858,0
154.45,155.81,153.78,153.9,26249630,0
155.37,155.98,154.48,155.02,20678772,0
154.99,155.54,154.4,155.25,20771367,0
